date;price;open;high;low;vol
06/05/2024;19587;19540;19690;19487;54.16M
06/06/2024;19448;19568;19650;19417;41.18M
06/07/2024;19689;19465;19694;19414;53.10M
06/10/2024;19312;19690;19730;19215;97.26M
06/11/2024;20715;19365;20716;19363;172.37M
06/12/2024;21307;20737;22020;20690;198.13M
06/13/2024;21424;21474;21675;21160;97.86M
06/14/2024;21249;21385;21517;21130;70.12M
06/17/2024;21667;21337;21895;21272;93.73M
06/18/2024;21429;21759;21863;21300;79.94M
06/20/2024;20968;21393;21424;20885;86.17M
06/21/2024;20749;21039;21189;20711;246.42M
06/24/2024;20814;20772;21270;20659;80.73M
06/25/2024;20907;20915;21138;20861;56.71M
06/26/2024;21325;21150;21486;21064;66.21M
06/27/2024;21410;21469;21574;21235;49.77M
06/28/2024;21062;21577;21607;21030;82.54M
07/01/2024;21675;21209;21751;21192;60.40M
07/02/2024;22027;21615;22038;21510;58.05M
07/03/2024;22155;22000;22155;21903;37.37M
07/05/2024;22634;22165;22645;22165;60.41M
07/08/2024;22782;22709;22785;22325;59.09M
07/09/2024;22868;22793;22940;22637;48.17M
07/10/2024;23298;22930;23308;22925;62.63M
07/11/2024;22757;23139;23239;22577;64.71M
07/12/2024;23054;22892;23264;22868;53.05M
07/15/2024;23440;23648;23723;23309;62.63M
07/16/2024;23482;23500;23627;23233;43.23M
07/17/2024;22888;22945;23146;22664;57.35M
07/18/2024;22418;23028;23044;22227;66.03M
07/19/2024;22431;22482;22680;22327;49.15M
07/22/2024;22396;22701;22778;22309;48.20M
07/23/2024;22501;22437;22694;22268;39.96M
07/24/2024;21854;22400;22480;21713;61.78M
07/25/2024;21749;21893;22085;21462;51.39M
07/26/2024;21796;21870;21949;21601;41.60M
07/29/2024;21824;21696;21930;21575;36.31M
07/30/2024;21880;21919;22032;21612;41.64M
07/31/2024;22208;22144;22382;22063;50.04M
08/01/2024;21836;22437;22448;21702;62.50M
08/02/2024;21986;21915;22560;21771;105.57M
08/05/2024;20927;19909;21350;19600;119.55M
08/06/2024;20723;20530;20999;20107;69.66M
08/07/2024;20982;20690;21364;20639;63.52M
08/08/2024;21331;21311;21420;20883;47.16M
08/09/2024;21624;21210;21678;21197;42.20M
08/12/2024;21753;21607;21951;21560;38.03M
08/13/2024;22127;21901;22189;21901;44.16M
08/14/2024;22172;22057;22303;21970;41.96M
08/15/2024;22472;22460;22535;22276;46.41M
08/16/2024;22605;22392;22683;22365;44.34M
08/19/2024;22589;22572;22599;22304;40.69M
08/20/2024;22651;22577;22717;22545;30.30M
08/21/2024;22640;22652;22798;22505;34.77M
08/22/2024;22453;22779;22834;22390;43.70M
08/23/2024;22684;22566;22822;22433;38.68M
08/26/2024;22718;22676;22728;22389;30.60M
08/27/2024;22803;22599;22885;22489;35.93M
08/28/2024;22649;22792;22986;22568;38.05M
08/29/2024;22979;23010;23292;22888;51.91M
08/30/2024;22900;23019;23040;22748;52.99M
09/03/2024;22277;22855;22900;22117;50.19M
09/04/2024;22085;22166;22178;21748;43.84M
09/05/2024;22238;22163;22548;22152;36.62M
09/06/2024;22082;22395;22524;21977;48.42M
09/09/2024;22091;22082;22127;21671;67.18M
09/10/2024;22011;21892;22148;21673;51.59M
09/11/2024;22266;22146;22309;21789;44.59M
09/12/2024;22277;22250;22355;21982;37.50M
09/13/2024;22250;22358;22404;22191;36.77M
09/16/2024;21632;21654;21722;21392;59.36M
09/17/2024;21679;21575;21690;21450;45.52M
09/18/2024;22069;21755;22271;21754;59.89M
09/19/2024;22887;22499;22982;22463;66.78M
09/20/2024;22820;22997;23309;22762;318.68M
09/23/2024;22647;22734;22945;22581;54.15M
09/24/2024;22737;22865;22935;22573;43.56M
09/25/2024;22637;22493;22729;22402;42.31M
09/26/2024;22752;22730;22850;22541;36.64M
09/27/2024;22779;22846;22952;22730;34.03M
09/30/2024;23300;23004;23300;22965;54.79M
10/01/2024;22621;22952;22965;22374;63.29M
10/02/2024;22678;22589;22737;22302;32.88M
10/03/2024;22567;22514;22680;22332;34.04M
10/04/2024;22680;22790;22800;22413;37.35M
10/07/2024;22169;22450;22569;22133;39.51M
10/08/2024;22577;22430;22598;22325;31.86M
